32 machines found
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
login-1.extreme.acer.uic.edu
CRF loss
Parsing training data: ./train_petsc.txt
Parsing test data: ./test_petsc.txt
Data loading completed
====================  Summary of settings =================
Training data: ./train_petsc.txt
Test data: ./test_petsc.txt
loss: CRF, lambda: 1.000000e-06, Processors: 32
dim: 129, classes: 26
Train: #word=3438, #letter=25953
Test: #word=3439, #letter=26198
===========================================================
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err 
190 1.62199 0.0124372 58.3795 196 7.968250 32.606166 15.222536 50.479791
191 1.62166 0.0220134 58.6036 197 7.983663 32.577080 15.241621 50.596104
192 1.62113 0.00822957 58.9728 198 7.941278 32.547993 15.249256 50.712416
193 1.62087 0.00719736 59.2977 199 7.964397 32.606166 15.256890 50.683338
194 1.62056 0.00881884 59.5701 200 7.999075 32.693426 15.275975 50.712416
195 1.62032 0.0296232 59.811 201 8.006781 32.460733 15.249256 50.654260
196 1.61979 0.0114831 60.0906 202 7.979810 32.489820 15.256890 50.596104
197 1.6194 0.00802116 60.3238 203 7.995222 32.431646 15.230170 50.567025
198 1.61904 0.0110545 60.5984 204 7.987516 32.431646 15.268341 50.567025
199 1.61854 0.0178768 60.8146 205 8.045313 32.693426 15.291244 50.596104
200 1.61816 0.0148319 61.0624 206 7.960544 32.577080 15.287427 50.537947
201 1.61789 0.00696258 61.3609 207 7.972103 32.606166 15.283609 50.567025
202 1.61753 0.0113368 61.5929 208 7.933572 32.489820 15.230170 50.537947
203 1.61715 0.0126292 61.8343 209 7.975957 32.547993 15.180548 50.450712
204 1.61674 0.022336 62.0534 210 7.902747 32.286213 15.241621 50.537947
205 1.61622 0.0107474 62.2886 211 7.952838 32.547993 15.214902 50.567025
206 1.61592 0.00749532 62.5343 212 7.968250 32.547993 15.207268 50.508869
207 1.6156 0.00934055 62.8638 213 7.987516 32.577080 15.214902 50.567025
208 1.61541 0.0203237 63.0985 214 8.010635 32.431646 15.260707 50.625182
209 1.61507 0.00786311 63.3427 215 7.987516 32.518906 15.268341 50.625182
210 1.61485 0.00699166 63.5653 216 7.972103 32.460733 15.233987 50.596104
211 1.61459 0.00935557 63.8058 217 7.945132 32.547993 15.256890 50.625182
212 1.61417 0.014955 64.0396 218 7.914307 32.518906 15.260707 50.625182
213 1.61383 0.0140315 64.3326 219 7.848804 32.344386 15.207268 50.537947
214 1.61356 0.00642449 64.5686 220 7.848804 32.373473 15.191999 50.421634
215 1.61332 0.00745852 64.797 221 7.925866 32.460733 15.184365 50.508869
216 1.61312 0.00772772 65.0386 222 7.937425 32.431646 15.184365 50.567025
217 1.61283 0.0182463 65.2937 223 7.902747 32.257126 15.130926 50.479791
218 1.61252 0.00944514 65.5284 224 7.918160 32.402560 15.161463 50.479791
219 1.61228 0.00875907 65.7494 225 7.879629 32.344386 15.081304 50.276243
220 1.61201 0.00966341 66.033 226 7.844950 32.344386 15.085121 50.189008
221 1.61186 0.0164915 66.3965 227 7.821832 32.111693 15.088938 50.247165
222 1.6116 0.00697206 66.6192 228 7.794860 32.169866 15.066036 50.334400
223 1.61144 0.00619969 66.8793 229 7.802566 32.257126 15.150011 50.625182
224 1.61126 0.00743481 67.1505 230 7.833391 32.286213 15.191999 50.683338
225 1.61097 0.0131712 67.3793 231 7.856510 32.402560 15.176731 50.683338
